_id,fy_ef,organization,estimates_document,vote_number,vote_type,authorities
9876,FY 2023-24,Canadian Human Rights Commission,Supplementary Estimates B,1,Operating/Program,2013282
9877,FY 2023-24,Canadian Institutes of Health Research,Supplementary Estimates B,5,Grants & Contributions,6207440
9878,FY 2023-24,Canadian Institutes of Health Research,Supplementary Estimates B,1,Operating/Program,-527503
9879,FY 2023-24,Canadian Intergovernmental Conference Secretariat,Supplementary Estimates B,1,Operating/Program,1428839
9880,FY 2023-24,Canadian Museum for Human Rights,Supplementary Estimates B,1,Payments to Crown Corps,1340000
9881,FY 2023-24,Canadian Museum of History,Supplementary Estimates B,1,Payments to Crown Corps,5056000
9882,FY 2023-24,Canadian Museum of Immigration at Pier 21,Supplementary Estimates B,1,Payments to Crown Corps,975000
9883,FY 2023-24,Canadian Museum of Nature,Supplementary Estimates B,1,Payments to Crown Corps,4605800
9884,FY 2023-24,Canadian Northern Economic Development Agency,Supplementary Estimates B,5,Grants & Contributions,4329784
9885,FY 2023-24,Canadian Northern Economic Development Agency,Supplementary Estimates B,1,Operating/Program,806624
9886,FY 2023-24,Canadian Nuclear Safety Commission,Supplementary Estimates B,1,Operating/Program,477000
9887,FY 2023-24,Canadian Security Intelligence Service,Supplementary Estimates B,1,Operating/Program,33602826
9888,FY 2023-24,Canadian Space Agency,Supplementary Estimates B,5,Capital,3039519
9889,FY 2023-24,Canadian Space Agency,Supplementary Estimates B,1,Operating/Program,-10000
9890,FY 2023-24,Canadian Transportation Accident Investigation and Safety Board,Supplementary Estimates B,1,Operating/Program,3748724
9891,FY 2023-24,Communications Security Establishment,Supplementary Estimates B,1,Operating/Program,12824037
9892,FY 2023-24,Correctional Service of Canada,Supplementary Estimates B,5,Capital,12154826
9893,FY 2023-24,Correctional Service of Canada,Supplementary Estimates B,1,Operating/Program,278078452
9894,FY 2023-24,Courts Administration Service,Supplementary Estimates B,1,Operating/Program,22743433
9895,FY 2023-24,Department for Women and Gender Equality,Supplementary Estimates B,5,Grants & Contributions,24190703
9896,FY 2023-24,Department for Women and Gender Equality,Supplementary Estimates B,1,Operating/Program,1148072
9897,FY 2023-24,Department of Agriculture and Agri-Food,Supplementary Estimates B,5,Capital,11608559
9898,FY 2023-24,Department of Agriculture and Agri-Food,Supplementary Estimates B,10,Grants & Contributions,34211000
9899,FY 2023-24,Department of Agriculture and Agri-Food,Supplementary Estimates B,1,Operating/Program,8324421
9900,FY 2023-24,Department of Canadian Heritage,Supplementary Estimates B,5,Grants & Contributions,179872997
9901,FY 2023-24,Department of Canadian Heritage,Supplementary Estimates B,1,Operating/Program,14508561
9902,FY 2023-24,Department of Citizenship and Immigration,Supplementary Estimates B,5,Capital,1681870
9903,FY 2023-24,Department of Citizenship and Immigration,Supplementary Estimates B,1,Operating/Program,175435327
9904,FY 2023-24,Department of Citizenship and Immigration,Supplementary Estimates B,10,Grants & Contributions,476668265
9905,FY 2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,10,Grants & Contributions,3288602051
9906,FY 2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,1,Operating/Program,5794110034
9907,FY 2023-24,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates B,5,Capital,-4067835
9908,FY 2023-24,Department of Employment and Social Development,Supplementary Estimates B,5,Grants & Contributions,295708965
9909,FY 2023-24,Department of Employment and Social Development,Supplementary Estimates B,1,Operating/Program,106529251
9910,FY 2023-24,Department of Finance,Supplementary Estimates B,1,Operating/Program,3384666
9911,FY 2023-24,Department of Fisheries and Oceans,Supplementary Estimates B,5,Capital,50642476
9912,FY 2023-24,Department of Fisheries and Oceans,Supplementary Estimates B,10,Grants & Contributions,192377963
9913,FY 2023-24,Department of Fisheries and Oceans,Supplementary Estimates B,1,Operating/Program,97431658
9914,FY 2023-24,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,10,Grants & Contributions,715165716
9915,FY 2023-24,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,1,Operating/Program,86925057
9916,FY 2023-24,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates B,5,Capital,7554864
9917,FY 2023-24,Department of Health,Supplementary Estimates B,5,Capital,957627
9918,FY 2023-24,Department of Health,Supplementary Estimates B,10,Grants & Contributions,16023742
9919,FY 2023-24,Department of Health,Supplementary Estimates B,1,Operating/Program,210604495
9920,FY 2023-24,"Department of Housing, Infrastructure and Communities",Supplementary Estimates B,10,Grants & Contributions,246454826
9921,FY 2023-24,"Department of Housing, Infrastructure and Communities",Supplementary Estimates B,1,Operating/Program,23852867
9922,FY 2023-24,Department of Indigenous Services,Supplementary Estimates B,5,Capital,3528588
9923,FY 2023-24,Department of Indigenous Services,Supplementary Estimates B,10,Grants & Contributions,631367370
9924,FY 2023-24,Department of Indigenous Services,Supplementary Estimates B,1,Operating/Program,326589489
9925,FY 2023-24,Department of Industry,Supplementary Estimates B,1,Operating/Program,4222220
9926,FY 2023-24,Department of Industry,Supplementary Estimates B,5,Capital,2119378
9927,FY 2023-24,Department of Industry,Supplementary Estimates B,10,Grants & Contributions,46815331
9928,FY 2023-24,Department of Justice,Supplementary Estimates B,5,Grants & Contributions,43500000
9929,FY 2023-24,Department of National Defence,Supplementary Estimates B,5,Capital,-3729919
9930,FY 2023-24,Department of National Defence,Supplementary Estimates B,10,Grants & Contributions,624319000
9931,FY 2023-24,Department of National Defence,Supplementary Estimates B,1,Operating/Program,755342390
9932,FY 2023-24,Department of Natural Resources,Supplementary Estimates B,5,Capital,11137406
9933,FY 2023-24,Department of Natural Resources,Supplementary Estimates B,10,Grants & Contributions,142432659
9934,FY 2023-24,Department of Natural Resources,Supplementary Estimates B,1,Operating/Program,67567938
9935,FY 2023-24,Department of Public Safety and Emergency Preparedness,Supplementary Estimates B,5,Grants & Contributions,80998903
9936,FY 2023-24,Department of Public Safety and Emergency Preparedness,Supplementary Estimates B,1,Operating/Program,21805383
9937,FY 2023-24,Department of Public Works and Government Services,Supplementary Estimates B,10,Other,1
9938,FY 2023-24,Department of Public Works and Government Services,Supplementary Estimates B,5,Capital,165073435
9939,FY 2023-24,Department of Public Works and Government Services,Supplementary Estimates B,1,Operating/Program,60799342
9940,FY 2023-24,Department of Transport,Supplementary Estimates B,10,Grants & Contributions,271891744
9941,FY 2023-24,Department of Transport,Supplementary Estimates B,5,Capital,83356914
9942,FY 2023-24,Department of Transport,Supplementary Estimates B,1,Operating/Program,107192901
9943,FY 2023-24,Department of Veterans Affairs,Supplementary Estimates B,1,Operating/Program,34721891
9944,FY 2023-24,Department of Veterans Affairs,Supplementary Estimates B,5,Grants & Contributions,2650001
9945,FY 2023-24,Department of Western Economic Diversification,Supplementary Estimates B,5,Grants & Contributions,38186275
9946,FY 2023-24,Department of Western Economic Diversification,Supplementary Estimates B,1,Operating/Program,667997
9947,FY 2023-24,Department of the Environment,Supplementary Estimates B,5,Capital,2952212
9948,FY 2023-24,Department of the Environment,Supplementary Estimates B,10,Grants & Contributions,14500114
9949,FY 2023-24,Department of the Environment,Supplementary Estimates B,1,Operating/Program,115599955
9950,FY 2023-24,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates B,5,Grants & Contributions,101091576
9951,FY 2023-24,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates B,1,Operating/Program,844799
9952,FY 2023-24,Federal Economic Development Agency for Northern Ontario,Supplementary Estimates B,5,Capital,5134230
9953,FY 2023-24,Federal Economic Development Agency for Northern Ontario,Supplementary Estimates B,1,Operating/Program,406348
9954,FY 2023-24,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates B,5,Grants & Contributions,28332460
9955,FY 2023-24,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates B,1,Operating/Program,945779
9956,FY 2023-24,Financial Transactions and Reports Analysis Centre of Canada,Supplementary Estimates B,1,Operating/Program,198219
9957,FY 2023-24,House of Commons,Supplementary Estimates B,1,Operating/Program,19762766
9958,FY 2023-24,Impact Assessment Agency of Canada,Supplementary Estimates B,1,Operating/Program,140000
9959,FY 2023-24,International Development Research Centre,Supplementary Estimates B,1,Payments to Crown Corps,6210604
9960,FY 2023-24,International Joint Commission (Canadian Section),Supplementary Estimates B,1,Operating/Program,836000
9961,FY 2023-24,Library and Archives of Canada,Supplementary Estimates B,1,Operating/Program,2217109
9962,FY 2023-24,Marine Atlantic Inc.,Supplementary Estimates B,1,Payments to Crown Corps,21688000
9963,FY 2023-24,Military Grievances External Review Committee,Supplementary Estimates B,1,Operating/Program,397623
9964,FY 2023-24,Military Police Complaints Commission,Supplementary Estimates B,1,Operating/Program,341700
9965,FY 2023-24,National Arts Centre Corporation,Supplementary Estimates B,1,Payments to Crown Corps,12926860
9966,FY 2023-24,National Film Board,Supplementary Estimates B,1,Operating/Program,5298220
9967,FY 2023-24,National Gallery of Canada,Supplementary Estimates B,1,Payments to Crown Corps,1243000
9968,FY 2023-24,National Museum of Science and Technology,Supplementary Estimates B,1,Payments to Crown Corps,5452000
9969,FY 2023-24,National Research Council of Canada,Supplementary Estimates B,5,Capital,1659882
9970,FY 2023-24,National Research Council of Canada,Supplementary Estimates B,10,Grants & Contributions,36055760
9971,FY 2023-24,National Research Council of Canada,Supplementary Estimates B,1,Operating/Program,15393935
9972,FY 2023-24,Natural Sciences and Engineering Research Council,Supplementary Estimates B,5,Grants & Contributions,40117393
9973,FY 2023-24,Natural Sciences and Engineering Research Council,Supplementary Estimates B,1,Operating/Program,2265695
9974,FY 2023-24,Office of the Commissioner of Lobbying,Supplementary Estimates B,1,Operating/Program,278089
9975,FY 2023-24,Office of the Correctional Investigator of Canada,Supplementary Estimates B,1,Operating/Program,906724
9976,FY 2023-24,Office of the Director of Public Prosecutions,Supplementary Estimates B,1,Operating/Program,4390000
9977,FY 2023-24,Offices of the Information and Privacy Commissioners of Canada,Supplementary Estimates B,5,Operating/Program,2201973
9978,FY 2023-24,Pacific Economic Development Agency of Canada,Supplementary Estimates B,5,Grants & Contributions,13815985
9979,FY 2023-24,Pacific Economic Development Agency of Canada,Supplementary Estimates B,1,Operating/Program,678840
9980,FY 2023-24,Parks Canada Agency,Supplementary Estimates B,5,Capital,4852000
9981,FY 2023-24,Parks Canada Agency,Supplementary Estimates B,1,Operating/Program,14399460
9982,FY 2023-24,Privy Council Office,Supplementary Estimates B,1,Operating/Program,644923
9983,FY 2023-24,Public Health Agency of Canada,Supplementary Estimates B,5,Capital,183750
9984,FY 2023-24,Public Health Agency of Canada,Supplementary Estimates B,10,Grants & Contributions,102823766
9985,FY 2023-24,Public Health Agency of Canada,Supplementary Estimates B,1,Operating/Program,163223839
9986,FY 2023-24,Royal Canadian Mounted Police,Supplementary Estimates B,5,Capital,22027292
9987,FY 2023-24,Royal Canadian Mounted Police,Supplementary Estimates B,10,Grants & Contributions,80724133
9988,FY 2023-24,Royal Canadian Mounted Police,Supplementary Estimates B,1,Operating/Program,83789574
9989,FY 2023-24,Shared Services Canada,Supplementary Estimates B,5,Capital,4470483
9990,FY 2023-24,Shared Services Canada,Supplementary Estimates B,1,Operating/Program,43200631
9991,FY 2023-24,Social Sciences and Humanities Research Council,Supplementary Estimates B,5,Grants & Contributions,1134444
9992,FY 2023-24,Social Sciences and Humanities Research Council,Supplementary Estimates B,1,Operating/Program,-108537
9993,FY 2023-24,Standards Council of Canada,Supplementary Estimates B,1,Payments to Crown Corps,1833500
9994,FY 2023-24,Statistics Canada,Supplementary Estimates B,1,Operating/Program,46386394
9995,FY 2023-24,The Jacques-Cartier and Champlain Bridges Inc.,Supplementary Estimates B,1,Payments to Crown Corps,121884
9996,FY 2023-24,The National Battlefields Commission,Supplementary Estimates B,1,Operating/Program,6101297
9997,FY 2023-24,Treasury Board Secretariat,Supplementary Estimates B,1,Operating/Program,32069708
9998,FY 2023-24,Treasury Board Secretariat,Supplementary Estimates B,20,Treasury Board Central,359344340
9999,FY 2023-24,Treasury Board Secretariat,Supplementary Estimates B,15,Treasury Board Central,2090072958
10000,FY 2023-24,Treasury Board Secretariat,Supplementary Estimates B,10,Treasury Board Central,17600000
10001,FY 2023-24,VIA HFR - VIA TGF Inc.,Supplementary Estimates B,1,Payments to Crown Corps,8000000
10002,FY 2023-24,VIA Rail Canada Inc.,Supplementary Estimates B,1,Payments to Crown Corps,248861189
10003,FY 2023-24,Veterans Review and Appeal Board,Supplementary Estimates B,1,Operating/Program,5667725
10004,FY 2023-24,Windsor-Detroit Bridge Authority,Supplementary Estimates B,1,Payments to Crown Corps,335362310
10005,FY 2023-24,Atlantic Canada Opportunities Agency,Supplementary Estimates C,5,Grants & Contributions,-117046
10006,FY 2023-24,Atomic Energy of Canada Limited,Supplementary Estimates C,1,Payments to Crown Corps,5760000
10007,FY 2023-24,Canada Border Services Agency,Supplementary Estimates C,5,Capital,827771
10008,FY 2023-24,Canada Border Services Agency,Supplementary Estimates C,1,Operating/Program,48223043
10009,FY 2023-24,Canada Council for the Arts,Supplementary Estimates C,1,Payments to Crown Corps,650000
10010,FY 2023-24,Canada Mortgage and Housing Corporation,Supplementary Estimates C,1,Payments to Crown Corps,100993247
10011,FY 2023-24,Canada Revenue Agency,Supplementary Estimates C,1,Operating/Program,122929204
10012,FY 2023-24,Canada School of Public Service,Supplementary Estimates C,1,Operating/Program,383230
