_id,fy_ef,organization,estimates_document,statutory_item,authorities
6870,FY 2022-23,National Research Council of Canada,Main Estimates,Contributions to employee benefit plans,68715595
6871,FY 2022-23,National Research Council of Canada,Main Estimates,Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act,182000000
6872,FY 2022-23,National Security and Intelligence Review Agency Secretariat,Main Estimates,Contributions to employee benefit plans,1727668
6873,FY 2022-23,Natural Sciences and Engineering Research Council,Main Estimates,Spending of Revenues pursuant to subsection 4.2 of the Natural Sciences and Engineering Research Council Act,203223
6874,FY 2022-23,Natural Sciences and Engineering Research Council,Main Estimates,Contributions to employee benefit plans,6154213
6875,FY 2022-23,Northern Pipeline Agency,Main Estimates,Contributions to employee benefit plans,32250
6876,FY 2022-23,Office of the Auditor General,Main Estimates,Contributions to employee benefit plans,12868918
6877,FY 2022-23,Office of the Chief Electoral Officer,Main Estimates,Expenses under Electoral Boundary Readjustment Act,6546500
6878,FY 2022-23,Office of the Chief Electoral Officer,Main Estimates,Electoral expenditures,133675262
6879,FY 2022-23,Office of the Chief Electoral Officer,Main Estimates,Salary of the Chief Electoral Officer,361100
6880,FY 2022-23,Office of the Chief Electoral Officer,Main Estimates,Contributions to employee benefit plans,13592033
6881,FY 2022-23,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,Contributions to employee benefit plans,1037100
6882,FY 2022-23,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",694015808
6883,FY 2022-23,Office of the Commissioner of Lobbying,Main Estimates,Contributions to employee benefit plans,521944
6884,FY 2022-23,Office of the Commissioner of Official Languages,Main Estimates,Contributions to employee benefit plans,2334957
6885,FY 2022-23,Office of the Conflict of Interest and Ethics Commissioner,Main Estimates,Contributions to employee benefit plans,866044
6886,FY 2022-23,Office of the Correctional Investigator of Canada,Main Estimates,Contributions to employee benefit plans,597364
6887,FY 2022-23,Office of the Director of Public Prosecutions,Main Estimates,Contributions to employee benefit plans,20418098
6888,FY 2022-23,Office of the Governor General's Secretary,Main Estimates,Contributions to employee benefit plans,2201856
6889,FY 2022-23,Office of the Governor General's Secretary,Main Estimates,Annuities payable under the Governor General's Act,934389
6890,FY 2022-23,Office of the Governor General's Secretary,Main Estimates,Salary of the Governor General,341776
6891,FY 2022-23,Office of the Intelligence Commissioner,Main Estimates,Contributions to employee benefit plans,166811
6892,FY 2022-23,Office of the Parliamentary Budget Officer,Main Estimates,Contributions to employee benefit plans,750231
6893,FY 2022-23,Office of the Public Sector Integrity Commissioner,Main Estimates,Contributions to employee benefit plans,554947
6894,FY 2022-23,Office of the Senate Ethics Officer,Main Estimates,Contributions to employee benefit plans,130350
6895,FY 2022-23,Office of the Superintendent of Financial Institutions,Main Estimates,Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act,219277299
6896,FY 2022-23,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,Contributions to employee benefit plans,4925970
6897,FY 2022-23,Pacific Economic Development Agency of Canada,Main Estimates,Contributions to employee benefit plans,2756096
6898,FY 2022-23,Parks Canada Agency,Main Estimates,Contributions to employee benefit plans,57100909
6899,FY 2022-23,Parks Canada Agency,Main Estimates,Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act,150000000
6900,FY 2022-23,Parliamentary Protective Service,Main Estimates,Contributions to employee benefit plans,11245736
6901,FY 2022-23,Parole Board of Canada,Main Estimates,Contributions to employee benefit plans,6904740
6902,FY 2022-23,Patented Medicine Prices Review Board,Main Estimates,Contributions to employee benefit plans,1325820
6903,FY 2022-23,Privy Council Office,Main Estimates,Contributions to employee benefit plans,20105742
6904,FY 2022-23,Privy Council Office,Main Estimates,Salary and Motor Car Allowance,374500
6905,FY 2022-23,Public Health Agency of Canada,Main Estimates,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",13412742
6906,FY 2022-23,Public Health Agency of Canada,Main Estimates,Contributions to employee benefit plans,65932563
6907,FY 2022-23,Public Service Commission,Main Estimates,Contributions to employee benefit plans,11925175
6908,FY 2022-23,Registrar of the Supreme Court of Canada,Main Estimates,Contributions to employee benefit plans,3061816
6909,FY 2022-23,Registrar of the Supreme Court of Canada,Main Estimates,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",9463062
6910,FY 2022-23,Royal Canadian Mounted Police,Main Estimates,Contributions to employee benefit plans,65864641
6911,FY 2022-23,Royal Canadian Mounted Police,Main Estimates,Pensions and other employee benefits - Members of the Force,455479327
6912,FY 2022-23,Royal Canadian Mounted Police,Main Estimates,Pensions under the Royal Canadian Mounted Police Pension Continuation Act,5000000
6913,FY 2022-23,Royal Canadian Mounted Police External Review Committee,Main Estimates,Contributions to employee benefit plans,640904
6914,FY 2022-23,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Main Estimates,Contributions to employee benefit plans,241265
6915,FY 2022-23,Senate,Main Estimates,Contributions to employee benefit plans,9380807
6916,FY 2022-23,Senate,Main Estimates,"Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",27904035
6917,FY 2022-23,Shared Services Canada,Main Estimates,Contributions to employee benefit plans,117709463
6918,FY 2022-23,Social Sciences and Humanities Research Council,Main Estimates,Spending of Revenues pursuant to subsection 4.2 of the Social Sciences and Humanities Research Council Act,107962
6919,FY 2022-23,Social Sciences and Humanities Research Council,Main Estimates,Contributions to employee benefit plans,4169009
6920,FY 2022-23,Statistics Canada,Main Estimates,Contributions to employee benefit plans,79966771
6921,FY 2022-23,The National Battlefields Commission,Main Estimates,Contributions to employee benefit plans,733839
6922,FY 2022-23,The National Battlefields Commission,Main Estimates,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,2000000
6923,FY 2022-23,Treasury Board Secretariat,Main Estimates,Contributions to employee benefit plans,35340344
6924,FY 2022-23,Treasury Board Secretariat,Main Estimates,Salary and Motor Car Allowance,92500
6925,FY 2022-23,Veterans Review and Appeal Board,Main Estimates,Contributions to employee benefit plans,1350518
6926,FY 2022-23,Administrative Tribunals Support Service of Canada,Supplementary Estimates A,Contributions to employee benefit plans,498670
6927,FY 2022-23,Canadian Space Agency,Supplementary Estimates A,Contributions to employee benefit plans,993989
6928,FY 2022-23,Canadian Transportation Agency,Supplementary Estimates A,Contributions to employee benefit plans,2054843
6929,FY 2022-23,Department of Agriculture and Agri-Food,Supplementary Estimates A,Contributions to employee benefit plans,438225
6930,FY 2022-23,Department of Citizenship and Immigration,Supplementary Estimates A,Contributions to employee benefit plans,7521513
6931,FY 2022-23,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,Contributions to employee benefit plans,2837892
6932,FY 2022-23,Department of Employment and Social Development,Supplementary Estimates A,Payments for the Canada Worker Lockdown Benefit pursuant to the Canada Worker Lockdown Benefit Act,3360000
6933,FY 2022-23,Department of Employment and Social Development,Supplementary Estimates A,Payments pursuant to the Canada Recovery Benefits Act,-28330000
6934,FY 2022-23,Department of Employment and Social Development,Supplementary Estimates A,Universal Child Care Benefit (Universal Child Care Benefit Act),620000
6935,FY 2022-23,Department of Employment and Social Development,Supplementary Estimates A,Allowance payments (Old Age Security Act),-34499130
6936,FY 2022-23,Department of Employment and Social Development,Supplementary Estimates A,Guaranteed Income Supplement Payments (Old Age Security Act),2148412
6937,FY 2022-23,Department of Employment and Social Development,Supplementary Estimates A,Old Age Security payments (Old Age Security Act),-371920595
6938,FY 2022-23,Department of Finance,Supplementary Estimates A,"Payments for school ventilation improvement pursuant to the Economic and Fiscal Update Implementation Act, 2021",100000000
6939,FY 2022-23,Department of Finance,Supplementary Estimates A,Other Interest Costs,254000000
6940,FY 2022-23,Department of Finance,Supplementary Estimates A,Interest on Unmatured Debt,895000000
6941,FY 2022-23,Department of Finance,Supplementary Estimates A,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),2060000
6942,FY 2022-23,Department of Finance,Supplementary Estimates A,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",9000
6943,FY 2022-23,Department of Finance,Supplementary Estimates A,Purchase of Domestic Coinage,2000000
6944,FY 2022-23,Department of Indigenous Services,Supplementary Estimates A,Contributions to employee benefit plans,5898690
6945,FY 2022-23,Department of Transport,Supplementary Estimates A,Contributions to employee benefit plans,5627440
6946,FY 2022-23,Law Commission of Canada,Supplementary Estimates A,Contributions to employee benefit plans,304288
6947,FY 2022-23,Parks Canada Agency,Supplementary Estimates A,Contributions to employee benefit plans,6753890
